Destino del reclamo,Quién lo resolvió,Tipo de reclamo,Fecha del reclamo,Estado del reclamo,Grado de satisfacción
INFRAESTRUCTURA,,Actualización de software,,  Cerrado  ,3
soporte técnico,,  problema de acceso  ,,Pendiente,0
Recursos humanos,Administrador TI,  Solicitud de equipo  ,2024-01-03,resuelto,2
Infraestructura,  Juan Pérez  ,Problema de acceso,2024-01-04,EN PROCESO,0
S0p0rte técnic0,help desk,  Actualización de software  ,2024-01-05,RESUELTO,5
Soporte técnico,juan pérez,Solicitud de equipo,2024/01/06,,0
Infraestructura,Administrador TI,ERROR DE SISTEMA,2024-01-07,PENDIENTE,0
Recurs0s human0s,SOPORTE NIVEL 1,,2024-01-08,  RESUELTO  ,5
Soporte técnico,Help Desk,Error de sistema,2024-01-09,Pendiente,0
,ADMINISTRADOR TI,Consulta general,2024-01-10,Pendiente,0
infraestructura,Administrador TI,Error de sistema,2024-01-11,  Resuelto  ,3
Infraestructura,JUAN PÉREZ,,2024-01-12,  PENDIENTE  ,0
SISTEMAS,JUAN PÉREZ,CONSULTA GENERAL,24-01-13,En proceso,0
SISTEMAS,HELP DESK,Solicitud de equipo,2024-01-14,Resuelto,5
FINANZAS,ADMINISTRADOR TI,SOLICITUD DE EQUIPO,2024-01-15,PENDIENTE,0
  Recursos humanos  ,Soporte Nivel 1,ERROR DE SISTEMA,2024/01/16,resuelto,1
Soporte técnico,Soporte Nivel 1,CONSULTA GENERAL,2024-01-17,Cerrado,2
Soporte técnico,MARÍA LÓPEZ,Actualización de software,2024-01-18,cerrado,2
Sistemas,Administrad0r TI,Actualización de software,2024-01-19,RESUELTO,2
infraestructura,juan pérez,consulta general,2024-01-20,PENDIENTE,0
  s0p0rte técnic0  ,MARÍA LÓPEZ,ERROR DE SISTEMA,2024/01/21,cerrado,2
RECURSOS HUMANOS,soporte nivel 1,problema de acceso,2024-01-22,  EN PROCESO  ,0
infraestructura,,error de sistema,2024-01-23,,0
Sistemas,Soporte Nivel 1,Err0r de sistema,2024-01-24,En proceso,0
Recursos humanos,  S0p0rte Nivel 1  ,Error de sistema,2024-01-25,Pendiente,0
soporte técnico,maría lópez,ERROR DE SISTEMA,24-01-26,CERRADO,1
Sistemas,Help Desk,actualización de software,2024/01/27,  pendiente  ,0
  INFRAESTRUCTURA  ,  Juan Pérez  ,  ACTUALIZACIÓN DE SOFTWARE  ,2024-01-28,RESUELTO,4
INFRAESTRUCTURA,  Administrad0r TI  ,actualización de software,2024-01-29,Pendiente,0
Infraestructura,Juan Pérez,Consulta general,2024-01-30,En proceso,0
RECURSOS HUMANOS,administrador ti,s0licitud de equip0,2024-01-31,RESUELTO,5
recursos humanos,SOPORTE NIVEL 1,Consulta general,2024-02-01,CERRADO,3
  soporte técnico  ,  Soporte Nivel 1  ,PROBLEMA DE ACCESO,2024-02-02,cerrado,3
FINANZAS,Help Desk,Error de sistema,2024-02-03,,0
Finanzas,María López,  Problema de acceso  ,2024-02-04,  RESUELTO  ,1
  Finanzas  ,SOPORTE NIVEL 1,Consulta general,2024/02/05,RESUELTO,1
Soporte técnico,help desk,Error de sistema,2024-02-06,En proceso,0
  Finanzas  ,JUAN PÉREZ,consulta general,2024-02-07,Pendiente,0
sistemas,  Soporte Nivel 1  ,problema de acceso,2024-02-08,,0
  Sistemas  ,,  CONSULTA GENERAL  ,2024-02-09,,0
Sistemas,SOPORTE NIVEL 1,  CONSULTA GENERAL  ,2024-02-10,Cerrado,2
Sistemas,Soporte Nivel 1,error de sistema,2024-02-11,En proceso,0
SOPORTE TÉCNICO,Juan Pérez,ERROR DE SISTEMA,2024-02-12,  PENDIENTE  ,0
SISTEMAS,  Juan Pérez  ,  ERROR DE SISTEMA  ,2024-02-13,  En proceso  ,0
Recursos humanos,María López,Solicitud de equipo,2024/02/14,Cerrado,2
Finanzas,maría lópez,Solicitud de equipo,2024-02-15,pendiente,0
Infraestructura,  help desk  ,Error de sistema,,Pendiente,0
  SOPORTE TÉCNICO  ,  Soporte Nivel 1  ,problema de acceso,2024-02-17,  En proceso  ,0
Recursos humanos,  administrador ti  ,ACTUALIZACIÓN DE SOFTWARE,2024/02/18,En proceso,0
RECURSOS HUMANOS,HELP DESK,Pr0blema de acces0,2024-02-19,resuelto,3
SOPORTE TÉCNICO,María López,Actualización de software,2024-02-20,  RESUELTO  ,2
RECURSOS HUMANOS,MARÍA LÓPEZ,Actualización de software,2024-02-21,Cerrado,3
  RECURSOS HUMANOS  ,  maría lópez  ,Consulta general,2024-02-22,Cerrado,4
,Administrador TI,Solicitud de equipo,2024-02-23,  Cerrado  ,2
infraestructura,Soporte Nivel 1,PROBLEMA DE ACCESO,2024/02/24,resuelto,4
SISTEMAS,  ADMINISTRADOR TI  ,Problema de acceso,2024-02-25,CERRADO,5
  Soporte técnico  ,juan pérez,Err0r de sistema,2024-02-26,CERRADO,2
SISTEMAS,,Error de sistema,2024-02-27,cerrado,4
Soporte técnico,maría lópez,,2024-02-28,  Pendiente  ,0
finanzas,,error de sistema,2024-02-29,en pr0ces0,0
  finanzas  ,,C0nsulta general,2024/03/01,,0
Recursos humanos,Juan Pérez,problema de acceso,2024-03-02,  Cerrado  ,5
Soporte técnico,S0p0rte Nivel 1,Consulta general,2024-03-03,Pendiente,0
SISTEMAS,  administrador ti  ,SOLICITUD DE EQUIPO,2024/03/04,  pendiente  ,0
SOPORTE TÉCNICO,Help Desk,SOLICITUD DE EQUIPO,2024-03-05,Resuelto,5
  recursos humanos  ,  Help Desk  ,CONSULTA GENERAL,2024-03-06,Pendiente,0
Soporte técnico,Juan Pérez,  SOLICITUD DE EQUIPO  ,2024-03-07,Cerrad0,0
Infraestructura,  ADMINISTRADOR TI  ,actualización de software,2024/03/08,cerrado,5
  Finanzas  ,Help Desk,Consulta general,2024/03/09,Pendiente,0
soporte técnico,Soporte Nivel 1,ERROR DE SISTEMA,2024-03-10,CERRADO,1
soporte técnico,Administrador TI,  ERROR DE SISTEMA  ,2024-03-11,cerrado,5
Sistemas,JUAN PÉREZ,Solicitud de equipo,2024/03/12,Pendiente,0
Soporte técnico,Soporte Nivel 1,  Solicitud de equipo  ,2024-03-13,Cerrado,1
  Sistemas  ,Soporte Nivel 1,Problema de acceso,2024-03-14,RESUELTO,5
Sistemas,HELP DESK,SOLICITUD DE EQUIPO,2024-03-15,Pendiente,0
RECURSOS HUMANOS,Juan Pérez,  Error de sistema  ,2024-03-16,Cerrado,1
Finanzas,Juan Pérez,Consulta general,2024-03-17,En proceso,0
recursos humanos,MARÍA LÓPEZ,Actualización de software,2024-03-18,en proceso,0
INFRAESTRUCTURA,María López,  Error de sistema  ,2024/03/19,EN PROCESO,0
SOPORTE TÉCNICO,MARÍA LÓPEZ,,2024/03/20,RESUELTO,5
soporte técnico,Administrador TI,  consulta general  ,2024-03-21,En proceso,0
  Soporte técnico  ,  ADMINISTRADOR TI  ,  Actualización de software  ,24-03-22,  CERRADO  ,1
Infraestructura,juan pérez,consulta general,24-03-23,cerrado,1
,JUAN PÉREZ,C0nsulta general,2024/03/24,  PENDIENTE  ,0
SISTEMAS,MARÍA LÓPEZ,ACTUALIZACIÓN DE SOFTWARE,2024-03-25,PENDIENTE,0
Infraestructura,Help Desk,actualización de software,2024-03-26,pendiente,0
SOPORTE TÉCNICO,Administrador TI,  S0licitud de equip0  ,2024-03-27,Cerrado,4
Soporte técnico,JUAN PÉREZ,actualización de software,2024-03-28,  En proceso  ,0
RECURSOS HUMANOS,ADMINISTRADOR TI,SOLICITUD DE EQUIPO,2024-03-29,pendiente,0
infraestructura,HELP DESK,SOLICITUD DE EQUIPO,2024-03-30,RESUELTO,1
INFRAESTRUCTURA,María López,ACTUALIZACIÓN DE SOFTWARE,2024/03/31,En proceso,0
SOPORTE TÉCNICO,Administrador TI,Problema de acceso,2024/04/01,Resuelto,1
Infraestructura,help desk,consulta general,24-04-02,en pr0ces0,0
Finanzas,  soporte nivel 1  ,  actualización de software  ,24-04-03,Pendiente,0
Soporte técnico,administrador ti,Actualización de software,2024-04-04,  EN PROCESO  ,0
Infraestructura,Help Desk,ACTUALIZACIÓN DE SOFTWARE,2024-04-05,  cerrado  ,4
  RECURSOS HUMANOS  ,Help Desk,  Actualización de software  ,2024-04-06,Cerrado,1
Infraestructura,Help Desk,problema de acceso,2024-04-07,RESUELTO,2
RECURSOS HUMANOS,HELP DESK,Error de sistema,2024/04/08,PENDIENTE,0
s0p0rte técnic0,administrad0r ti,PROBLEMA DE ACCESO,24-04-09,En proceso,0
Soporte técnico,JUAN PÉREZ,,2024-04-10,EN PROCESO,0
Soporte técnico,JUAN PÉREZ,problema de acceso,2024-04-11,resuelto,2
  soporte técnico  ,Administrador TI,Solicitud de equipo,2024/04/12,cerrado,3
  SOPORTE TÉCNICO  ,Soporte Nivel 1,CONSULTA GENERAL,2024-04-13,Resuelto,5
  Sistemas  ,ADMINISTRADOR TI,,2024-04-14,pendiente,0
S0p0rte técnic0,soporte nivel 1,Solicitud de equipo,2024-04-15,en proceso,0
  Recursos humanos  ,  SOPORTE NIVEL 1  ,Error de sistema,2024-04-16,EN PROCESO,0
  finanzas  ,Juan Pérez,  SOLICITUD DE EQUIPO  ,2024-04-17,En pr0ces0,0
Finanzas,help desk,Consulta general,2024-04-18,En proceso,0
SISTEMAS,  HELP DESK  ,Actualización de software,2024-04-19,Pendiente,0
SOPORTE TÉCNICO,Juan Pérez,  Actualización de software  ,2024-04-20,CERRADO,2
Infraestructura,,ERROR DE SISTEMA,2024/04/21,en proceso,0
Sistemas,soporte nivel 1,  Problema de acceso  ,2024-04-22,resuelto,5
,  ADMINISTRADOR TI  ,PROBLEMA DE ACCESO,2024-04-23,En proceso,0
SISTEMAS,administrador ti,  Solicitud de equipo  ,2024-04-24,PENDIENTE,0
Recurs0s human0s,  Help Desk  ,CONSULTA GENERAL,2024-04-25,cerrado,5
RECURSOS HUMANOS,  María López  ,Consulta general,,En pr0ces0,0
SOPORTE TÉCNICO,administrador ti,Actualización de s0ftware,2024-04-27,Cerrado,4
FINANZAS,JUAN PÉREZ,Problema de acceso,2024-04-28,cerrado,5
SISTEMAS,Juan Pérez,  err0r de sistema  ,2024/04/29,Cerrado,1
SISTEMAS,  Juan Pérez  ,ACTUALIZACIÓN DE SOFTWARE,2024/04/30,Cerrado,4
sistemas,maría lópez,Actualización de software,2024-05-01,En pr0ces0,0
  Sistemas  ,maría lópez,  SOLICITUD DE EQUIPO  ,2024-05-02,  EN PROCESO  ,0
RECURSOS HUMANOS,  Help Desk  ,,2024-05-03,Pendiente,0
SOPORTE TÉCNICO,JUAN PÉREZ,error de sistema,2024/05/04,CERRADO,1
Soporte técnico,ADMINISTRADOR TI,Solicitud de equipo,2024-05-05,  Pendiente  ,0
Sistemas,,Consulta general,2024-05-06,,0
RECURSOS HUMANOS,,Consulta general,2024-05-07,,0
Sistemas,juan pérez,  Solicitud de equipo  ,,Cerrado,4
sistemas,MARÍA LÓPEZ,ERROR DE SISTEMA,2024-05-09,pendiente,0
Sistemas,administrador ti,ERROR DE SISTEMA,2024-05-10,Cerrado,5
Sistemas,JUAN PÉREZ,error de sistema,24-05-11,  RESUELTO  ,3
,  Soporte Nivel 1  ,Solicitud de equipo,2024-05-12,EN PROCESO,0
RECURSOS HUMANOS,  María López  ,Actualización de software,2024-05-13,Resuelto,2
  INFRAESTRUCTURA  ,Juan Pérez,  ACTUALIZACIÓN DE SOFTWARE  ,2024-05-14,EN PROCESO,0
Sistemas,  maría lópez  ,problema de acceso,2024/05/15,en proceso,0
Recursos humanos,  Soporte Nivel 1  ,ACTUALIZACIÓN DE SOFTWARE,2024-05-16,En proceso,0
sistemas,  Help Desk  ,Err0r de sistema,2024-05-17,Cerrado,1
,  soporte nivel 1  ,  consulta general  ,2024-05-18,Resuelto,4
RECURSOS HUMANOS,Juan Pérez,Actualización de software,2024/05/19,,0
  RECURSOS HUMANOS  ,Help Desk,Error de sistema,2024-05-20,EN PROCESO,0
finanzas,Juan Pérez,problema de acceso,24/05/21,Cerrado,1
  soporte técnico  ,help desk,ERROR DE SISTEMA,2024/05/22,Resuelto,5
  RECURSOS HUMANOS  ,Juan Pérez,PROBLEMA DE ACCESO,2024-05-23,En proceso,0
SOPORTE TÉCNICO,JUAN PÉREZ,Solicitud de equipo,2024-05-24,  PENDIENTE  ,0
  Soporte técnico  ,  Help Desk  ,CONSULTA GENERAL,24-05-25,En proceso,0
s0p0rte técnic0,Help Desk,Error de sistema,2024-05-26,EN PROCESO,0
  Soporte técnico  ,Juan Pérez,  Consulta general  ,2024-05-27,En proceso,0
SISTEMAS,María López,  Solicitud de equipo  ,2024/05/28,EN PROCESO,0
Soporte técnico,administrador ti,problema de acceso,2024/05/29,PENDIENTE,0
SOPORTE TÉCNICO,help desk,Actualización de software,2024-05-30,CERRADO,5
Recursos humanos,  administrador ti  ,  PROBLEMA DE ACCESO  ,2024-05-31,PENDIENTE,0
  Finanzas  ,Help Desk,solicitud de equipo,2024-06-01,EN PROCESO,0
Sistemas,  Juan Pérez  ,Solicitud de equipo,2024/06/02,pendiente,0
Recursos humanos,María López,SOLICITUD DE EQUIPO,2024/06/03,EN PROCESO,0
,HELP DESK,SOLICITUD DE EQUIPO,2024-06-04,CERRADO,3
SISTEMAS,Soporte Nivel 1,solicitud de equipo,24-06-05,En proceso,0
SISTEMAS,soporte nivel 1,PROBLEMA DE ACCESO,2024-06-06,  Pendiente  ,0
  S0p0rte técnic0  ,soporte nivel 1,Problema de acceso,2024-06-07,EN PROCESO,0
SOPORTE TÉCNICO,SOPORTE NIVEL 1,Solicitud de equipo,2024/06/08,,0
infraestructura,maría lópez,  Problema de acceso  ,,  En proceso  ,0
Recursos humanos,help desk,PROBLEMA DE ACCESO,2024-06-10,Pendiente,0
sistemas,MARÍA LÓPEZ,Problema de acceso,2024/06/11,Pendiente,0
  Infraestructura  ,SOPORTE NIVEL 1,SOLICITUD DE EQUIPO,2024-06-12,  Cerrado  ,3
SOPORTE TÉCNICO,María López,solicitud de equipo,2024/06/13,PENDIENTE,0
RECURSOS HUMANOS,  María López  ,ACTUALIZACIÓN DE SOFTWARE,2024/06/14,CERRADO,3
  sistemas  ,  MARÍA LÓPEZ  ,problema de acceso,2024-06-15,Pendiente,0
Recursos humanos,  administrad0r ti  ,Problema de acceso,2024-06-16,EN PROCESO,0
  INFRAESTRUCTURA  ,Help Desk,Problema de acceso,2024-06-17,Pendiente,0
recursos humanos,SOPORTE NIVEL 1,  Consulta general  ,2024-06-18,en proceso,0
RECURSOS HUMANOS,Help Desk,CONSULTA GENERAL,2024-06-19,En proceso,0
Sistemas,HELP DESK,  SOLICITUD DE EQUIPO  ,2024-06-20,Resuelto,4
Sistemas,maría lópez,Actualización de software,2024-06-21,EN PROCESO,0
INFRAESTRUCTURA,help desk,Solicitud de equipo,,  Cerrado  ,4
SOPORTE TÉCNICO,  MARÍA LÓPEZ  ,Consulta general,24-06-23,resuelto,4
Soporte técnico,Help Desk,PROBLEMA DE ACCESO,2024/06/24,Pendiente,0
  Soporte técnico  ,María López,actualización de software,2024-06-25,Resuelt0,0
Soporte técnico,,,2024-06-26,RESUELTO,4
recursos humanos,Soporte Nivel 1,Error de sistema,2024-06-27,EN PROCESO,0
Finanzas,Help Desk,  Consulta general  ,2024-06-28,PENDIENTE,0
FINANZAS,help desk,ACTUALIZACIÓN DE SOFTWARE,2024-06-29,  pendiente  ,0
Infraestructura,Help Desk,Problema de acceso,2024-06-30,En proceso,0
sistemas,juan pérez,Problema de acceso,2024/07/01,pendiente,0
RECURSOS HUMANOS,MARÍA LÓPEZ,,2024-07-02,en proceso,0
  Finanzas  ,maría lópez,Error de sistema,2024-07-03,PENDIENTE,0
  Soporte técnico  ,juan pérez,ERROR DE SISTEMA,2024-07-04,Resuelto,1
SOPORTE TÉCNICO,Juan Pérez,  PROBLEMA DE ACCESO  ,,Pendiente,0
Sistemas,Juan Pérez,  Actualización de software  ,2024-07-06,PENDIENTE,0
finanzas,María López,  Problema de acceso  ,2024-07-07,Pendiente,0
Recursos humanos,HELP DESK,Consulta general,24-07-08,RESUELTO,5
Infraestructura,help desk,Consulta general,,pendiente,0
Recursos humanos,Help Desk,Actualización de software,2024-07-10,PENDIENTE,0
Sistemas,soporte nivel 1,Problema de acceso,2024-07-11,Cerrado,1
soporte técnico,Soporte Nivel 1,actualización de software,2024-07-12,Pendiente,0
soporte técnico,  help desk  ,Consulta general,2024-07-13,Pendiente,0
sistemas,  Juan Pérez  ,,2024-07-14,Resuelto,5
finanzas,  maría lópez  ,Problema de acceso,24-07-15,Pendiente,0
infraestructura,maría lópez,Problema de acceso,,Pendiente,0
